分类,标题,描述,详细说明,产品,使用区,卡片分组
Content creation,个性化营销,使用AI通过分析客户数据和预测最佳互动策略来定制营销活动。,"有针对性的营销活动-根据行为和偏好对客户进行细分以使用AI开展有影响力的营销活动。
内容改进-利用AI建议增强营销内容，与目标受众的兴趣保持一致。","Azure Machine Learning, Azure AI Search, Dynamics 365 Customer Insights",1业务场景区,Original_Card
数据和预测分析,了解客户,深入了解客户行为，预测他们的需求，并有效地定制解决方案。,"零售-根据客户过去的购买情况推荐产品。
营销-根据客户与品牌的互动来个性化营销活动。","Azure Machine Learning, Azure AI Foundry, Microsoft Fabric, Dynamics 365 Customer Insights",1业务场景区,Original_Card
数据和预测分析,预测客户流失,使用AI预测客户流失并主动响应以留住他们。,"订阅服务-根据客户使用模式预测可能的取消。
营销-为面临流失风险的客户提供个性化激励。","Azure Machine Learning, Microsoft Fabric, Dynamics 365 Customer Insights",1业务场景区,Original_Card
数据和预测分析,预测和规划需求,使用AI分析销售数据、识别模式并准确预测需求。,"销售分析历史销售数据以确定模式和季节性。
库存管理-根据预测的需求规划库存，以避免缺货和积压。","Azure Machine Learning, Microsoft Fabric, Azure AI Foundry, Dynamics 365 Supply Chain Management",1业务场景区,Original_Card
数据和预测分析,预测风险或欺诈,使用AI检测可疑活动并实时预测潜在威胁。,"银行业务-识别交易中的可疑模式以检测潜在的欺诈行为。
网络安全-实时预测威胁以防止数据泄露。","Microsoft Fabric, Azure AI Foundry, Azure Sentinel, Azure Machine Learning, Dynamics 365 Fraud Protection",1业务场景区,Original_Card
数据和预测分析,获得市场洞察,利用AI了解市场趋势、预测和评估竞争对手的行为。,"零售-分析数据点以了解市场趋势并为战略决策提供信息
营销-跟踪竞争对手的数字足迹以了解他们的策略和绩效","Azure Machine Learning, Azure AI Foundry, Azure AI Language, Azure Maps, Bing Search API, Power BI",1业务场景区,Original_Card
智能体,流程优化,智能体式人工智能通过自主协调、分配和调度复杂工作流中的任务，提升运营效率。,"制造业-预测性维护智能体持续监控设备健康状况，并在故障发生前安排维修。
零售业-库存优化智能体预测需求，并动态调整多个地点的库存水平。","Azure AI Foundry, Microsoft 365 Copilot, Agent Service",1业务场景区,Original_Card
智能体,生产力,人工智能体通过处理重复性任务，简化行政与知识类工作，为高价值活动腾出时间。,"企业运营-会议总结智能体参与虚拟会议，提取行动项并发送跟进信息。
法律运营-合同审查智能体分析法律文件，标记风险并建议修改方案。","Azure AI Foundry, Microsoft 365 Copilot, Agent Service",1业务场景区,Original_Card
智能体,客户服务,人工智能体简化客户互动、收集信息并处理请求，为人工工作人员提供支持。,"零售业-智能体处理咨询、跟踪物流并发起退货，减少等待时间并提升客户满意度。
电信业-人工智能监控服务中断情况，主动联系受影响客户，并在无需人工干预的情况下安排技术人员上门。","Azure AI Foundry, Microsoft 365 Copilot, Agent Service",1业务场景区,Original_Card
智能体,安全运营,智能体式人工智能通过规模化自动化威胁检测、情报整理和漏洞响应，强化安全团队能力。,"威胁情报-智能体为组织的风险概况整理实时、特定场景的威胁简报。
漏洞管理-智能体识别、优先处理并指导跨系统漏洞的修复工作。","Microsoft 365 Copilot, Azure AI Foundry, Microsoft Security Copilot, Agent Service",1业务场景区,Original_Card
